room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,description,latitude,longitude,listed
4336402,22515605,Private room,København,26,4.5,2,1,46,1,Room in house near metro,55.643933,12.596228,9/04/2018
5912868,30707195,Entire home/apt,Aarhus,22,5,5,3,124,1,"Moesgaard Museum, great nature and golf next door",56.098101,10.220339,9/04/2018
11955772,15764309,Entire home/apt,København,15,5,4,1,233,1,In The Heart of Copenhagen,55.682031,12.584048,9/04/2018
8565757,45080525,Entire home/apt,Horsens,20,5,4,3,101,1,Centralt og lækkert hus i Horsens,55.867121,9.871267,9/04/2018
9151809,47647011,Entire home/apt,Odder,17,4.5,6,3,108,1,Newly refurbished cottage,55.988724,10.251072,9/04/2018
6309150,19428094,Entire home/apt,Helsingør,19,5,4,2,62,1,Charming annex close to the beach,56.092664,12.457484,9/04/2018
11733101,59273812,Private room,Tønder,27,5,2,1,27,1,Dejlig værelse og tæt på indkøbs.,54.940171,8.849116,9/04/2018
8481031,44661502,Entire home/apt,Frederikshavn,20,5,6,2,62,1,Apartment on cosy city farm (B1),57.726133,10.584947,9/04/2018
2975826,15178764,Entire home/apt,København,15,5,4,1,156,1,Luxury by the water,55.658995,12.561322,9/04/2018
1195579,126081,Entire home/apt,København,21,5,6,3,202,1,GREAT flat in central Copenhagen,55.685792,12.568953,9/04/2018
12825146,69973310,Entire home/apt,København,13,5,4,1,116,1,Cozy apartment close to city center,55.648187,12.524315,10/04/2018
14078645,14617597,Entire home/apt,København,15,5,3,1,135,1,The ligthest apartment in Central Copenhagen,55.664758,12.555172,10/04/2018
17217031,115911907,Private room,København,20,4,2,1,46,1,Big light room in Copenhagen,55.667727,12.609032,10/04/2018
7463073,24759553,Entire home/apt,Odsherred,28,5,5,1,149,1,Idyllic and stylish home by the beach and nature,55.958137,11.749485,10/04/2018
724355,3059516,Private room,Fredensborg,31,4.5,1,1,34,1,Near Copenhagen by beach/wood II,55.93843,12.517438,10/04/2018
8288346,3667644,Private room,Gladsaxe,14,4.5,1,1,49,1,Private and quiet room,55.741933,12.488091,10/04/2018
3583015,18035484,Entire home/apt,Frederiksberg,19,4.5,6,3,207,1,170m2 familyhouse w. garden - center of Copenhagen,55.689911,12.52484,10/04/2018
168594,2923963,Private room,København,31,4.5,2,1,115,1,Copenhagen Venice ,55.672542,12.593024,10/04/2018
2214620,2835566,Entire home/apt,København,31,5,2,1,140,1,Contemporary cool in vibrant CPH ,55.670647,12.557632,10/04/2018
11357993,14085110,Entire home/apt,København,15,5,2,1,132,1,Great apartment // good location i Cph Vesterbro,55.669072,12.53838,10/04/2018
3871787,20000082,Entire home/apt,København,26,5,2,1,156,1,Comfortable and cosy at Vesterbro,55.670646,12.542839,10/04/2018
598936,2963274,Entire home/apt,København,14,4.5,4,2,185,1,Charming old boutique apartment,55.670497,12.593408,10/04/2018
3173583,16093616,Entire home/apt,København,33,5,4,2,171,1,Great spot in the heart of Nørrebro,55.690099,12.554676,10/04/2018
377440,1896892,Entire home/apt,Odense,14,4,5,2,90,1,B&B in Odense. As central as can be,55.396735,10.377031,10/04/2018
11635124,44192069,Private room,Holstebro,17,5,4,1,34,1,"In the city - private bath, kitchenette, entrance",56.365569,8.623452,10/04/2018
3118360,15257136,Private room,Gladsaxe,33,4.5,2,1,46,1,Nice room / Garden / Free parking,55.742253,12.510763,10/04/2018
